Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,187.479996,188.220001,182.800003,183.139999,171.982620,123408912
2018-07-12,183.740005,184.100006,180.880005,182.559998,171.437958,80652520
2018-07-13,183.259995,183.779999,181.440002,181.500000,170.442520,51100845
2018-07-16,181.860001,182.059998,178.720001,180.860001,169.841522,79821521
2018-07-17,180.500000,181.559998,179.320007,180.000000,169.033920,105560921
2018-07-18,181.199997,181.199997,179.660004,179.899994,168.940002,49065424
2018-07-19,179.020004,179.839996,177.520004,178.240005,167.381134,96397020
2018-07-20,177.880005,177.899994,175.119995,177.639999,166.817703,105123304
2018-07-23,177.639999,178.800003,176.899994,178.000000,167.155762,43647710
2018-07-24,178.600006,179.000000,176.660004,177.660004,166.836472,60614706
2018-07-25,176.500000,178.360001,173.500000,175.100006,164.432434,88605613
2018-07-26,175.199997,177.360001,173.800003,177.100006,166.310593,85309708
2018-07-27,177.899994,180.660004,177.539993,180.000000,169.033920,84574203
2018-07-30,179.139999,187.419998,178.699997,186.500000,175.137924,128945937
2018-07-31,187.399994,188.460007,185.699997,186.000000,174.668381,75463391
2018-08-01,185.720001,186.020004,184.320007,184.360001,173.128296,84646474
2018-08-02,184.100006,184.419998,181.199997,181.300003,170.254730,64939188
2018-08-03,183.080002,185.740005,181.860001,184.800003,173.541489,59669829
2018-08-06,185.139999,186.539993,184.979996,186.119995,174.781067,66426889
2018-08-07,185.600006,187.399994,184.500000,186.500000,175.137924,90361877
2018-08-08,186.000000,188.300003,185.960007,186.720001,175.344513,49169375
2018-08-09,187.059998,187.059998,184.539993,185.360001,174.067368,40463721
2018-08-10,185.360001,185.500000,182.000000,182.520004,171.400391,51407611
2018-08-13,181.899994,182.440002,180.479996,181.020004,169.991791,77698956
2018-08-14,182.100006,182.100006,178.699997,178.779999,167.888229,106345807
2018-08-15,179.520004,179.520004,174.860001,175.020004,164.357315,96361985
2018-08-16,176.039993,177.539993,174.979996,177.000000,166.216690,95235777
2018-08-17,176.800003,177.679993,174.779999,175.779999,165.071014,47339726
2018-08-20,175.839996,177.279999,175.300003,176.600006,165.841064,39088523
2018-08-21,176.600006,176.979996,175.919998,176.139999,165.409073,111264164
2018-08-22,176.119995,178.259995,175.619995,175.699997,164.995880,36546897
2018-08-23,176.839996,177.380005,175.839996,175.940002,165.221252,29783036
2018-08-24,176.000000,176.179993,175.059998,175.279999,164.601471,45622409
2018-08-28,175.000000,175.619995,173.080002,175.199997,164.526352,58086045
2018-08-29,174.880005,175.580002,172.399994,172.940002,162.404037,62248970
2018-08-30,171.940002,172.919998,166.779999,167.520004,157.314240,119125480
2018-08-31,166.080002,167.539993,163.960007,164.500000,154.478210,211121370
2018-09-03,165.199997,167.539993,165.100006,166.539993,156.393936,75370220
2018-09-04,167.360001,167.500000,162.800003,164.300003,154.290405,72360126
2018-09-05,164.619995,166.000000,162.639999,162.899994,152.975677,86172218
2018-09-06,164.500000,167.220001,163.220001,164.000000,154.008682,141841790
2018-09-07,165.020004,165.720001,164.279999,165.259995,155.191910,76895455
2018-09-10,165.600006,167.539993,165.039993,165.699997,155.605118,55919476
2018-09-11,166.460007,166.660004,164.119995,166.199997,156.074646,63937042
2018-09-12,165.899994,167.179993,164.440002,166.580002,156.431488,52664166
2018-09-13,167.000000,169.360001,166.279999,168.279999,158.027924,73324640
2018-09-14,168.899994,169.000000,166.539993,167.440002,157.239105,68402097
2018-09-17,167.000000,169.160004,166.839996,168.080002,157.840118,40206517
2018-09-18,167.740005,169.220001,167.119995,168.919998,158.628937,51970221
2018-09-19,169.339996,169.619995,167.020004,168.820007,158.535049,54808047
2018-09-20,168.740005,168.800003,167.039993,168.059998,157.821335,70249141
2018-09-21,168.500000,170.940002,168.500000,170.940002,160.525879,186922814
2018-09-24,171.479996,171.580002,169.779999,170.000000,159.643143,48273439
2018-09-25,169.880005,170.259995,168.339996,168.740005,158.459900,102600914
2018-09-26,168.500000,168.660004,165.559998,166.940002,156.769562,89001526
2018-09-27,166.259995,169.279999,166.160004,168.139999,157.896454,66432201
2018-09-28,167.500000,167.679993,164.220001,164.500000,154.478210,112688939
2018-10-01,164.139999,164.139999,161.899994,162.000000,152.130524,104504719
2018-10-02,161.259995,161.779999,159.880005,159.880005,150.139694,150770455
2018-10-03,160.800003,163.820007,160.679993,162.479996,152.581268,108501640
2018-10-04,161.979996,163.059998,160.779999,162.139999,152.261993,80521666
2018-10-05,161.679993,161.800003,160.000000,160.220001,150.458969,82554619
2018-10-08,159.020004,159.619995,154.580002,154.580002,145.162567,120031402
2018-10-09,153.399994,153.699997,150.080002,150.720001,141.537735,121936298
2018-10-10,150.000000,155.139999,149.300003,153.000000,143.678818,154056458
2018-10-11,151.820007,154.440002,150.500000,150.979996,141.781876,132673861
2018-10-12,152.960007,152.960007,150.679993,151.000000,141.800674,86532480
2018-10-15,152.820007,153.779999,151.080002,153.600006,144.242279,97009988
2018-10-16,153.679993,154.520004,152.500000,153.399994,144.054443,47506236
2018-10-17,153.399994,153.399994,150.960007,152.039993,142.777313,64712702
2018-10-18,152.740005,154.720001,151.479996,151.500000,142.270218,65552389
2018-10-19,151.220001,153.380005,150.240005,152.460007,143.171738,95292137
2018-10-22,153.179993,153.460007,149.320007,149.559998,140.448395,100925777
2018-10-23,148.080002,148.979996,145.240005,146.240005,137.330673,112703063
2018-10-24,147.020004,149.119995,146.039993,146.419998,137.499710,74928710
2018-10-25,145.199997,147.059998,143.179993,146.600006,137.668732,71362950
2018-10-26,145.720001,146.259995,142.600006,144.039993,135.264679,60746912
2018-10-29,144.080002,148.139999,143.039993,147.279999,138.307312,71225834
2018-10-30,146.600006,147.880005,145.899994,147.059998,138.100708,93750298
2018-10-31,148.220001,149.300003,146.679993,147.820007,138.814423,124249555
2018-11-01,147.000000,152.259995,146.940002,151.500000,142.270218,104974082
2018-11-02,152.919998,153.020004,150.119995,150.520004,141.349930,72803548
2018-11-05,149.199997,151.580002,148.100006,150.399994,141.237228,47978657
2018-11-06,150.720001,151.000000,146.220001,146.279999,137.368240,91072853
2018-11-07,144.000000,148.399994,144.000000,147.880005,138.870758,66320852
2018-11-08,147.740005,148.679993,146.020004,147.080002,138.119492,57925240
2018-11-09,145.360001,146.479996,143.399994,143.919998,135.152008,74277525
2018-11-12,145.800003,146.500000,143.300003,144.360001,135.565201,78069063
2018-11-13,153.899994,158.800003,152.039993,155.600006,146.120438,207688505
2018-11-14,155.720001,162.580002,153.520004,157.559998,147.961014,178579734
2018-11-15,158.000000,158.520004,153.720001,155.399994,145.932602,110016257
2018-11-16,154.320007,156.080002,151.160004,153.399994,144.054443,117676662
2018-11-19,152.899994,156.460007,152.759995,155.820007,146.327026,76102942
2018-11-20,154.000000,155.940002,152.039993,153.619995,144.261047,93947537
2018-11-21,154.300003,158.339996,153.059998,158.039993,148.411774,114046296
2018-11-22,154.020004,155.460007,152.000000,152.000000,147.249283,86010766
2018-11-23,152.720001,156.059998,152.479996,155.119995,150.271759,116775355
2018-11-26,157.080002,164.979996,156.460007,164.820007,159.668610,188567012
2018-11-27,163.520004,167.940002,162.559998,167.800003,162.555466,154740224
2018-11-28,168.460007,171.779999,167.660004,168.679993,163.407944,213869374
2018-11-29,168.600006,169.979996,166.899994,167.759995,162.516708,92012556
2018-11-30,167.000000,170.940002,167.000000,168.940002,163.659836,150216129
2018-12-03,170.000000,170.199997,167.619995,168.059998,162.807327,109450283
2018-12-04,167.500000,169.000000,165.080002,165.139999,159.978592,104169461
2018-12-05,164.000000,165.399994,162.500000,163.000000,157.905487,53339420
2018-12-06,162.139999,163.360001,159.660004,160.460007,155.444870,94568427
2018-12-07,161.600006,164.940002,161.240005,162.779999,157.692352,60355112
2018-12-10,161.399994,161.979996,159.259995,159.320007,154.340500,92767682
2018-12-11,161.279999,164.479996,160.619995,162.500000,157.421112,91455537
2018-12-12,162.320007,164.220001,161.059998,163.100006,158.002365,94225395
2018-12-13,165.800003,165.800003,160.000000,160.479996,155.464233,62477116
2018-12-14,158.639999,160.679993,157.660004,160.679993,155.657990,71240396
2018-12-17,160.679993,162.880005,160.360001,160.699997,155.677368,74883251
2018-12-18,160.440002,160.720001,157.520004,157.860001,152.926132,101988854
2018-12-19,157.679993,160.979996,156.820007,159.460007,154.476135,91876951
2018-12-20,156.440002,162.539993,156.320007,159.960007,154.960510,127351880
2018-12-21,158.080002,159.059998,155.380005,156.740005,151.841141,170857954
2018-12-24,154.520004,155.559998,153.759995,154.500000,149.671143,32396181
2018-12-27,155.639999,156.059998,149.639999,151.520004,146.784286,64314737
2018-12-28,152.160004,155.880005,151.559998,154.580002,149.748642,54970399
2018-12-31,152.800003,154.479996,152.539993,152.899994,148.121155,19594762
2019-01-02,151.539993,155.539993,149.600006,154.940002,150.097397,82169050
2019-01-03,154.979996,158.240005,154.419998,156.059998,151.182388,86196555
2019-01-04,156.880005,158.619995,155.460007,157.979996,153.042374,59025082
2019-01-07,158.600006,158.759995,155.779999,157.399994,152.480499,90498640
2019-01-08,155.000000,156.600006,154.339996,155.600006,150.736771,79355156
2019-01-09,156.240005,156.240005,150.960007,152.800003,148.024277,92679567
2019-01-10,153.160004,154.860001,152.600006,153.740005,148.934906,57374885
2019-01-11,153.479996,155.380005,151.960007,152.839996,148.063034,49867746
2019-01-14,152.080002,153.160004,148.600006,149.199997,144.536789,58901015
2019-01-15,152.000000,152.000000,146.380005,148.639999,143.994293,78208541
2019-01-16,148.320007,148.639999,146.660004,148.199997,143.568054,133678100
2019-01-17,148.020004,148.380005,146.259995,148.320007,143.684311,52942587
2019-01-18,147.699997,149.779999,146.839996,149.339996,144.672424,109590560
2019-01-21,148.860001,149.899994,147.240005,149.160004,144.498047,39561654
2019-01-22,149.059998,150.460007,147.820007,148.160004,143.529312,52353102
2019-01-23,148.000000,150.740005,146.800003,149.259995,144.594910,63739088
2019-01-24,148.800003,148.899994,143.559998,144.039993,139.538071,111447921
2019-01-25,144.539993,146.000000,135.639999,137.000000,132.718109,174404871
2019-01-28,137.000000,139.360001,135.199997,135.440002,131.206863,107975053
2019-01-29,135.759995,137.520004,134.720001,135.080002,130.858109,145947056
2019-01-30,135.080002,137.580002,133.479996,136.699997,132.427475,100924617
2019-01-31,136.899994,141.139999,136.380005,138.580002,134.248718,131894675
2019-02-01,138.279999,139.419998,136.800003,138.839996,134.500595,82264755
2019-02-04,139.199997,139.759995,136.699997,138.100006,133.783737,70307886
2019-02-05,137.839996,141.539993,137.820007,141.059998,136.651215,70477970
2019-02-06,142.199997,143.619995,142.000000,142.399994,137.949326,81444610
2019-02-07,141.500000,141.759995,138.839996,139.380005,135.023727,77580548
2019-02-08,139.000000,139.460007,137.440002,138.679993,134.345596,45885866
2019-02-11,140.080002,141.419998,139.320007,141.100006,136.689972,66232357
2019-02-12,141.839996,142.259995,139.240005,139.639999,135.275589,54638162
2019-02-13,140.119995,140.139999,138.839996,139.360001,135.004349,56240930
2019-02-14,139.600006,140.300003,138.380005,139.639999,135.275589,55879838
2019-02-15,140.440002,142.240005,139.639999,141.199997,136.786835,70777516
2019-02-18,142.000000,143.240005,141.039993,142.139999,137.697449,44688569
2019-02-19,143.759995,143.759995,140.320007,141.500000,137.077454,54187552
2019-02-20,141.179993,142.800003,140.380005,142.380005,137.929962,45437497
2019-02-21,142.080002,142.360001,138.860001,141.199997,136.786835,56533579
2019-02-22,141.979996,143.460007,141.800003,141.800003,137.368088,56765891
2019-02-25,141.639999,142.220001,139.460007,139.600006,135.236847,51559298
2019-02-26,138.199997,138.479996,135.800003,136.600006,132.330612,84074513
2019-02-27,135.619995,136.039993,133.220001,133.600006,129.424377,82571475
2019-02-28,133.600006,136.119995,132.360001,134.279999,130.083115,79565232
2019-03-01,134.759995,136.000000,132.520004,134.240005,130.044373,65877121
2019-03-04,134.000000,134.199997,131.039993,131.360001,127.254379,83444600
2019-03-05,131.100006,135.679993,131.100006,133.979996,129.792496,101886812
2019-03-06,131.000000,135.919998,131.000000,133.960007,129.773132,153588952
2019-03-07,134.199997,136.320007,133.339996,135.619995,131.381226,98802529
2019-03-08,135.000000,137.699997,134.100006,136.800003,132.524353,125356095
2019-03-11,137.479996,139.479996,136.960007,138.960007,134.616852,250973399
2019-03-12,138.500000,139.800003,136.720001,139.399994,135.043091,111083548
2019-03-13,138.580002,140.139999,138.039993,139.399994,135.043091,107543218
2019-03-14,139.460007,141.339996,139.460007,140.160004,135.779343,79507637
2019-03-15,140.460007,143.559998,140.399994,143.559998,139.073074,168033956
2019-03-18,144.000000,145.119995,143.020004,144.160004,139.654327,52129950
2019-03-19,144.479996,146.100006,144.259995,145.580002,141.029938,73953660
2019-03-20,146.339996,148.059998,145.539993,145.539993,140.991180,70185893
2019-03-21,144.839996,147.839996,144.339996,146.759995,142.173050,66203095
2019-03-22,146.460007,147.000000,144.259995,144.259995,139.751190,84119698
2019-03-25,144.199997,144.500000,141.220001,141.679993,137.251831,106089428
2019-03-26,141.000000,143.240005,140.360001,142.339996,137.891205,82837807
2019-03-27,143.860001,143.860001,139.619995,140.800003,136.399338,100322588
2019-03-28,140.919998,141.679993,138.300003,138.759995,134.423096,79929236
2019-03-29,139.059998,139.960007,138.039993,139.800003,135.430588,88194273
2019-04-01,141.279999,142.779999,139.619995,141.880005,137.445587,143255999
2019-04-02,142.000000,142.440002,140.460007,142.199997,137.755585,117578747
2019-04-03,142.059998,144.160004,141.520004,143.679993,139.189316,79722882
2019-04-04,143.779999,144.940002,142.759995,144.460007,139.944946,64444642
2019-04-05,144.800003,144.960007,140.380005,141.339996,136.922455,105474156
2019-04-08,141.039993,142.419998,139.940002,140.559998,136.166840,62458382
2019-04-09,139.740005,142.100006,139.520004,140.520004,136.128098,68574051
2019-04-10,140.619995,141.880005,139.619995,139.839996,135.469345,123250460
2019-04-11,140.000000,140.000000,137.539993,138.100006,133.783737,82991213
2019-04-12,138.940002,140.539993,138.160004,140.539993,136.147461,102511068
2019-04-15,140.160004,142.759995,139.779999,142.500000,138.046204,70686750
2019-04-16,143.000000,144.600006,142.139999,142.600006,138.143082,53881185
2019-04-17,142.500000,144.320007,142.179993,143.720001,139.228073,64383445
2019-04-18,143.779999,144.259995,141.979996,142.559998,138.104324,62425506
2019-04-23,142.339996,143.940002,141.419998,141.619995,137.193710,74878616
2019-04-24,141.500000,142.160004,139.559998,139.860001,135.488724,68842273
2019-04-25,139.580002,140.000000,138.199997,139.619995,135.256210,56559672
2019-04-26,139.020004,142.360001,138.779999,141.919998,137.484329,220046770
2019-04-29,141.919998,144.139999,141.899994,143.360001,138.879318,55353399
2019-04-30,142.279999,143.479996,141.199997,142.000000,137.561829,121076920
2019-05-01,142.160004,144.500000,141.139999,141.139999,136.728714,37604964
2019-05-02,141.600006,142.960007,140.779999,141.039993,136.631836,70889430
2019-05-03,141.839996,141.839996,139.960007,140.059998,135.682465,48117906
2019-05-07,138.699997,142.759995,138.600006,140.000000,135.624344,85573109
2019-05-08,139.600006,141.259995,139.000000,140.100006,135.721222,123521185
2019-05-09,139.699997,140.539993,138.339996,138.500000,134.171219,131831320
2019-05-10,138.559998,139.839996,138.380005,139.000000,134.655594,53386801
2019-05-13,138.000000,138.399994,131.300003,131.779999,127.661255,171589699
2019-05-14,130.000000,136.320007,125.120003,126.839996,122.875648,188242908
2019-05-15,126.779999,127.320000,123.900002,126.000000,122.061905,128750234
2019-05-16,125.620003,126.360001,123.900002,124.860001,120.957535,121744930
2019-05-17,124.279999,124.820000,123.199997,124.279999,120.395660,120086126
2019-05-20,123.699997,126.519997,122.220001,126.400002,122.449409,183845674
2019-05-21,126.059998,127.320000,125.639999,126.019997,122.081276,81981568
2019-05-22,126.120003,126.440002,124.300003,125.660004,121.732536,111117240
2019-05-23,124.480003,124.779999,122.800003,123.320000,119.465668,93428908
2019-05-24,124.580002,126.959999,124.000000,126.099998,122.158783,76499269
2019-05-28,126.000000,127.839996,124.980003,127.120003,123.146904,95163377
2019-05-29,126.120003,129.800003,125.540001,129.300003,125.258766,94262946
2019-05-30,129.479996,130.559998,129.240005,129.940002,125.878769,171559379
2019-05-31,129.220001,130.800003,129.080002,129.419998,125.375015,81567893
2019-06-03,128.699997,129.960007,128.419998,129.960007,125.898148,82085101
2019-06-04,129.740005,134.339996,129.380005,133.679993,129.501862,110764223
2019-06-05,133.600006,134.479996,132.160004,133.100006,128.940002,91876881
2019-06-06,129.899994,130.320007,127.300003,127.980003,127.980003,62387383
2019-06-07,127.820000,130.559998,127.500000,129.899994,129.899994,55820723
2019-06-10,130.179993,130.720001,128.919998,130.399994,130.399994,70040647
2019-06-11,130.759995,131.639999,130.160004,130.179993,130.179993,125305651
2019-06-12,129.779999,130.559998,128.960007,129.339996,129.339996,199103954
2019-06-13,129.320007,131.679993,128.820007,129.039993,129.039993,59957900
2019-06-14,128.020004,128.759995,127.779999,128.020004,128.020004,51144258
2019-06-17,128.059998,128.720001,126.620003,127.459999,127.459999,50906608
