Date,Price,Open,High,Low,Vol.,Change %
"Jul 22, 2019","7,539.81","7,508.32","7,550.10","7,490.85",-,0.41%
"Jul 19, 2019","7,508.70","7,493.09","7,546.65","7,475.49",593.42M,0.21%
"Jul 18, 2019","7,493.09","7,535.46","7,535.46","7,482.60",519.63M,-0.56%
"Jul 17, 2019","7,535.46","7,577.20","7,577.20","7,519.22",594.49M,-0.55%
"Jul 16, 2019","7,577.20","7,531.72","7,590.07","7,524.52",625.96M,0.60%
"Jul 15, 2019","7,531.72","7,505.97","7,548.33","7,487.44",497.44M,0.34%
"Jul 12, 2019","7,505.97","7,509.82","7,537.10","7,493.80",516.64M,-0.05%
"Jul 11, 2019","7,509.82","7,530.69","7,558.34","7,501.66",611.47M,-0.28%
"Jul 10, 2019","7,530.69","7,536.47","7,559.12","7,515.61",559.06M,-0.08%
"Jul 09, 2019","7,536.47","7,549.27","7,553.30","7,517.94",559.72M,-0.17%
"Jul 08, 2019","7,549.27","7,553.14","7,571.34","7,538.67",554.95M,-0.05%
"Jul 05, 2019","7,553.14","7,603.58","7,603.61","7,541.86",537.93M,-0.66%
"Jul 04, 2019","7,603.58","7,609.32","7,622.58","7,601.33",502.80M,-0.08%
"Jul 03, 2019","7,609.32","7,559.19","7,621.02","7,558.47",703.62M,0.66%
"Jul 02, 2019","7,559.19","7,497.50","7,565.27","7,497.50",573.57M,0.82%
"Jul 01, 2019","7,497.50","7,425.63","7,530.24","7,425.63",654.27M,0.97%
"Jun 28, 2019","7,425.63","7,402.33","7,436.18","7,398.92",730.44M,0.31%
"Jun 27, 2019","7,402.33","7,416.39","7,439.43","7,375.51",665.86M,-0.19%
"Jun 26, 2019","7,416.39","7,422.43","7,435.90","7,405.54",673.95M,-0.08%
"Jun 25, 2019","7,422.43","7,416.69","7,429.72","7,373.22",626.13M,0.08%
"Jun 24, 2019","7,416.69","7,407.50","7,435.54","7,399.56",646.88M,0.12%
"Jun 21, 2019","7,407.50","7,424.44","7,456.79","7,382.94",1.49B,-0.23%
"Jun 20, 2019","7,424.44","7,403.54","7,460.83","7,403.54",698.66M,0.28%
"Jun 19, 2019","7,403.54","7,443.04","7,454.93","7,399.17",774.63M,-0.53%
"Jun 18, 2019","7,443.04","7,357.31","7,469.19","7,345.55",823.67M,1.17%
"Jun 17, 2019","7,357.31","7,345.78","7,370.70","7,324.54",548.16M,0.16%
"Jun 14, 2019","7,345.78","7,368.57","7,368.80","7,316.44",629.60M,-0.31%
"Jun 13, 2019","7,368.57","7,367.62","7,398.61","7,350.98",627.57M,0.01%
"Jun 12, 2019","7,367.62","7,398.45","7,398.45","7,329.26",824.87M,-0.42%
"Jun 11, 2019","7,398.45","7,375.54","7,420.73","7,375.54",690.48M,0.31%
"Jun 10, 2019","7,375.54","7,331.94","7,380.14","7,331.94",460.89M,0.59%
"Jun 07, 2019","7,331.94","7,259.85","7,347.41","7,258.16",610.88M,0.99%
"Jun 06, 2019","7,259.85","7,220.22","7,275.66","7,218.67",640.48M,0.55%
"Jun 05, 2019","7,220.22","7,216.74","7,259.24","7,201.36",768.03M,0.08%
"Jun 04, 2019","7,214.29","7,184.80","7,223.96","7,138.14",855.20M,0.41%
"Jun 03, 2019","7,184.80","7,161.71","7,186.71","7,079.71",733.57M,0.32%
"May 31, 2019","7,161.71","7,218.16","7,218.16","7,130.85",870.74M,-0.78%
"May 30, 2019","7,218.16","7,185.30","7,236.68","7,180.57",658.19M,0.46%
"May 29, 2019","7,185.30","7,268.95","7,268.95","7,151.37",673.07M,-1.15%
"May 28, 2019","7,268.95","7,277.73","7,314.85","7,262.80",1.19B,-0.12%
"May 24, 2019","7,277.73","7,231.04","7,303.04","7,231.01",653.15M,0.65%
"May 23, 2019","7,231.04","7,334.19","7,334.19","7,211.33",819.67M,-1.41%
"May 22, 2019","7,334.19","7,328.92","7,373.27","7,313.55",825.72M,0.07%
"May 21, 2019","7,328.92","7,310.88","7,370.02","7,310.88",772.50M,0.25%
"May 20, 2019","7,310.88","7,348.62","7,360.34","7,268.63",755.12M,-0.51%
"May 17, 2019","7,348.62","7,353.51","7,354.22","7,307.33",763.92M,-0.07%
"May 16, 2019","7,353.51","7,296.95","7,353.51","7,265.77",676.26M,0.78%
"May 15, 2019","7,296.95","7,241.60","7,303.73","7,223.08",834.95M,0.76%
"May 14, 2019","7,241.60","7,163.68","7,241.60","7,163.68",743.86M,1.09%
"May 13, 2019","7,163.68","7,203.29","7,217.12","7,150.89",797.46M,-0.55%
"May 10, 2019","7,203.29","7,207.41","7,268.17","7,189.88",637.29M,-0.06%
"May 09, 2019","7,207.41","7,271.00","7,271.00","7,192.18",880.88M,-0.87%
"May 08, 2019","7,271.00","7,260.47","7,278.26","7,222.88",834.24M,0.15%
"May 07, 2019","7,260.47","7,380.64","7,380.64","7,251.03",907.82M,-1.63%
"May 03, 2019","7,380.64","7,351.31","7,418.17","7,350.01",476.58M,0.40%
"May 02, 2019","7,351.31","7,385.26","7,393.94","7,339.45",637.48M,-0.46%
"May 01, 2019","7,385.26","7,418.22","7,446.46","7,379.65",347.13M,-0.44%
"Apr 30, 2019","7,418.22","7,440.66","7,451.32","7,394.07",774.32M,-0.30%
"Apr 29, 2019","7,440.66","7,428.19","7,456.49","7,406.53",506.41M,0.17%
"Apr 26, 2019","7,428.19","7,434.13","7,442.21","7,398.57",865.75M,-0.08%
"Apr 25, 2019","7,434.13","7,471.75","7,473.32","7,405.99",695.23M,-0.50%
"Apr 24, 2019","7,471.75","7,523.07","7,523.79","7,456.74",703.75M,-0.68%
"Apr 23, 2019","7,523.07","7,459.88","7,528.93","7,459.88",795.96M,0.85%
"Apr 18, 2019","7,459.88","7,471.32","7,475.91","7,437.87",536.60M,-0.15%
"Apr 17, 2019","7,471.32","7,469.92","7,478.95","7,445.12",665.16M,0.02%
"Apr 16, 2019","7,469.92","7,436.87","7,485.93","7,436.87",642.95M,0.44%
"Apr 15, 2019","7,436.87","7,437.06","7,447.08","7,420.27",527.42M,0.00%
"Apr 12, 2019","7,437.06","7,417.95","7,454.78","7,415.00",718.44M,0.26%
"Apr 11, 2019","7,417.95","7,421.91","7,441.89","7,383.47",649.07M,-0.05%
"Apr 10, 2019","7,421.91","7,425.57","7,441.36","7,409.39",587.36M,-0.05%
"Apr 09, 2019","7,425.57","7,451.89","7,477.62","7,413.27",672.46M,-0.35%
"Apr 08, 2019","7,451.89","7,446.87","7,459.93","7,420.41",588.84M,0.07%
"Apr 05, 2019","7,446.87","7,401.94","7,461.39","7,400.79",700.98M,0.61%
"Apr 04, 2019","7,401.94","7,418.28","7,418.43","7,367.44",696.56M,-0.22%
"Apr 03, 2019","7,418.28","7,391.12","7,418.31","7,380.93",908.00M,0.37%
"Apr 02, 2019","7,391.12","7,317.38","7,403.56","7,316.81",742.82M,1.01%
"Apr 01, 2019","7,317.38","7,279.19","7,352.15","7,279.19",718.29M,0.52%
"Mar 29, 2019","7,279.19","7,234.33","7,287.72","7,223.30",818.95M,0.62%
"Mar 28, 2019","7,234.33","7,194.19","7,265.47","7,190.87",585.60M,0.56%
"Mar 27, 2019","7,194.19","7,196.29","7,222.64","7,160.14",699.73M,-0.03%
"Mar 26, 2019","7,196.29","7,177.58","7,221.02","7,169.37",649.06M,0.26%
"Mar 25, 2019","7,177.58","7,207.59","7,208.09","7,146.83",604.28M,-0.42%
"Mar 22, 2019","7,207.59","7,355.31","7,356.37","7,192.76",716.21M,-2.01%
"Mar 21, 2019","7,355.31","7,291.01","7,370.61","7,290.62",731.35M,0.88%
"Mar 20, 2019","7,291.01","7,324.00","7,341.57","7,291.01",771.73M,-0.45%
"Mar 19, 2019","7,324.00","7,299.19","7,350.10","7,294.50",617.24M,0.34%
"Mar 18, 2019","7,299.19","7,228.28","7,299.19","7,228.19",662.83M,0.98%
"Mar 15, 2019","7,228.28","7,185.43","7,243.80","7,185.43",1.38B,0.60%
"Mar 14, 2019","7,185.43","7,159.19","7,215.45","7,148.08",815.71M,0.37%
"Mar 13, 2019","7,159.19","7,151.15","7,181.85","7,128.71",767.65M,0.11%
"Mar 12, 2019","7,151.15","7,130.62","7,166.55","7,083.22",775.29M,0.29%
"Mar 11, 2019","7,130.62","7,104.31","7,181.61","7,104.31",695.14M,0.37%
"Mar 08, 2019","7,104.31","7,157.55","7,157.55","7,077.93",640.78M,-0.74%
"Mar 07, 2019","7,157.55","7,196.00","7,196.00","7,126.57",712.68M,-0.53%
"Mar 06, 2019","7,196.00","7,183.43","7,211.83","7,170.25",816.15M,0.17%
"Mar 05, 2019","7,183.43","7,134.39","7,191.65","7,127.18",819.86M,0.69%
"Mar 04, 2019","7,134.39","7,106.73","7,166.19","7,106.73",654.23M,0.39%
"Mar 01, 2019","7,106.73","7,074.73","7,129.72","7,074.73",722.48M,0.45%
"Feb 28, 2019","7,074.73","7,107.20","7,107.20","7,041.03",1.01B,-0.46%
"Feb 27, 2019","7,107.20","7,151.12","7,151.12","7,082.62",897.62M,-0.61%
"Feb 26, 2019","7,151.12","7,183.74","7,183.79","7,091.59",892.46M,-0.45%
"Feb 25, 2019","7,183.74","7,178.60","7,210.70","7,158.19",664.87M,0.07%
"Feb 22, 2019","7,178.60","7,167.39","7,220.52","7,162.37",666.72M,0.16%
"Feb 21, 2019","7,167.39","7,228.62","7,228.78","7,141.85",822.59M,-0.85%
"Feb 20, 2019","7,228.62","7,179.17","7,234.16","7,177.95",887.89M,0.69%
"Feb 19, 2019","7,179.17","7,219.47","7,219.53","7,162.80",643.41M,-0.56%
"Feb 18, 2019","7,219.47","7,236.68","7,242.09","7,209.70",453.43M,-0.24%
"Feb 15, 2019","7,236.68","7,197.01","7,261.63","7,185.23",709.70M,0.55%
"Feb 14, 2019","7,197.01","7,190.84","7,232.83","7,183.01",535.04M,0.09%
"Feb 13, 2019","7,190.84","7,133.14","7,205.07","7,133.14",578.84M,0.81%
"Feb 12, 2019","7,133.14","7,129.11","7,168.61","7,121.72",542.97M,0.06%
"Feb 11, 2019","7,129.11","7,071.18","7,149.23","7,071.18",565.26M,0.82%
"Feb 08, 2019","7,071.18","7,093.58","7,115.83","7,064.90",548.73M,-0.32%
"Feb 07, 2019","7,093.58","7,173.09","7,187.51","7,093.58",669.72M,-1.11%
"Feb 06, 2019","7,173.09","7,177.37","7,184.22","7,146.65",618.00M,-0.06%
"Feb 05, 2019","7,177.37","7,034.13","7,180.71","7,033.57",683.46M,2.04%
"Feb 04, 2019","7,034.13","7,020.22","7,046.58","7,002.42",630.90M,0.20%
"Feb 01, 2019","7,020.22","6,968.85","7,024.45","6,968.85",645.35M,0.74%
"Jan 31, 2019","6,968.85","6,941.63","6,994.88","6,941.09",893.09M,0.39%
"Jan 30, 2019","6,941.63","6,833.93","6,967.70","6,833.93",771.90M,1.58%
"Jan 29, 2019","6,833.93","6,747.10","6,860.34","6,747.10",718.59M,1.29%
"Jan 28, 2019","6,747.10","6,809.22","6,812.53","6,734.00",668.24M,-0.91%
"Jan 25, 2019","6,809.22","6,818.95","6,858.19","6,806.77",749.99M,-0.14%
"Jan 24, 2019","6,818.95","6,842.88","6,854.59","6,802.03",618.51M,-0.35%
"Jan 23, 2019","6,842.88","6,901.39","6,901.63","6,834.30",666.01M,-0.85%
"Jan 22, 2019","6,901.39","6,970.59","6,970.59","6,880.69",583.46M,-0.99%
"Jan 21, 2019","6,970.59","6,968.33","6,987.93","6,954.52",488.78M,0.03%
"Jan 18, 2019","6,968.33","6,834.92","6,984.36","6,834.92",820.33M,1.95%
"Jan 17, 2019","6,834.92","6,862.68","6,862.68","6,799.03",600.66M,-0.40%
"Jan 16, 2019","6,862.68","6,895.02","6,912.44","6,848.57",811.96M,-0.47%
"Jan 15, 2019","6,895.02","6,855.02","6,910.45","6,849.63",708.58M,0.58%
