"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2019","17,097.39","17,307.73","17,309.11","17,089.98","-","-1.22%"
"Jul 18, 2019","17,307.76","17,156.47","17,318.89","17,156.47","-","0.88%"
"Jul 17, 2019","17,156.47","17,140.95","17,260.19","17,132.27","-","0.09%"
"Jul 16, 2019","17,141.00","17,143.65","17,252.09","17,069.89","-","-0.01%"
"Jul 15, 2019","17,143.17","17,150.65","17,267.47","17,089.37","-","-0.04%"
"Jul 12, 2019","17,150.09","17,356.68","17,451.61","17,149.57","-","-1.18%"
"Jul 11, 2019","17,354.70","17,466.62","17,478.08","17,300.96","-","-0.64%"
"Jul 10, 2019","17,466.41","17,274.10","17,613.54","17,274.10","-","1.12%"
"Jul 08, 2019","17,272.74","17,205.02","17,299.70","17,181.31","-","0.39%"
"Jul 05, 2019","17,204.91","17,136.66","17,222.04","16,963.52","-","0.39%"
"Jul 04, 2019","17,138.06","16,875.00","17,204.62","16,875.00","-","1.56%"
"Jul 03, 2019","16,874.39","16,628.71","16,898.79","16,610.09","-","1.45%"
"Jul 02, 2019","16,633.83","16,763.64","16,797.43","16,547.75","-","-0.77%"
"Jul 01, 2019","16,763.18","16,686.12","16,937.97","16,686.12","-","0.47%"
"Jun 28, 2019","16,685.01","16,655.00","16,792.38","16,655.00","-","0.18%"
"Jun 27, 2019","16,654.88","16,656.81","16,707.42","16,441.71","-","-0.01%"
"Jun 26, 2019","16,656.81","16,555.68","16,734.12","16,555.68","-","0.61%"
"Jun 25, 2019","16,555.32","16,875.93","16,875.93","16,519.01","-","-1.90%"
"Jun 24, 2019","16,876.09","16,871.71","16,968.19","16,799.19","-","0.03%"
"Jun 21, 2019","16,870.61","16,574.45","16,888.74","16,574.45","-","1.79%"
"Jun 19, 2019","16,574.21","16,418.53","16,579.54","16,347.70","-","0.95%"
"Jun 18, 2019","16,418.78","16,115.49","16,419.00","16,115.33","-","1.89%"
"Jun 17, 2019","16,113.70","16,191.18","16,257.27","16,113.59","-","-0.48%"
"Jun 14, 2019","16,191.63","16,316.18","16,342.49","16,114.12","-","-0.76%"
"Jun 13, 2019","16,315.82","16,251.53","16,416.22","16,251.53","-","0.40%"
"Jun 12, 2019","16,251.01","16,355.60","16,408.60","16,168.46","-","-0.64%"
"Jun 11, 2019","16,355.68","16,091.65","16,361.55","16,091.65","-","1.64%"
"Jun 10, 2019","16,091.65","16,154.57","16,158.72","15,975.92","-","-0.38%"
"Jun 07, 2019","16,153.44","16,056.90","16,239.34","16,056.36","-","0.60%"
"Jun 06, 2019","16,056.90","15,851.18","16,100.43","15,851.18","-","1.30%"
"Jun 05, 2019","15,850.64","16,087.79","16,139.88","15,797.05","-","-1.47%"
"Jun 04, 2019","16,087.55","16,025.44","16,145.50","15,958.20","-","0.39%"
"Jun 03, 2019","16,025.51","16,026.76","16,151.38","15,928.18","-","-0.00%"
"May 31, 2019","16,025.54","16,103.45","16,191.95","15,985.06","-","-0.53%"
"May 30, 2019","16,110.12","15,972.95","16,197.84","15,963.33","-","0.86%"
"May 29, 2019","15,973.13","15,941.56","16,045.61","15,818.00","-","0.19%"
"May 28, 2019","15,942.28","15,692.08","15,969.99","15,665.08","-","1.59%"
"May 27, 2019","15,692.30","15,486.21","15,790.34","15,486.21","-","1.34%"
"May 24, 2019","15,485.35","15,525.43","15,695.88","15,473.43","-","-0.26%"
"May 23, 2019","15,525.07","15,599.96","15,626.86","15,415.62","-","-0.48%"
"May 22, 2019","15,600.03","15,620.43","15,745.61","15,515.30","-","-0.13%"
"May 21, 2019","15,620.29","15,197.08","15,635.46","15,197.08","-","2.79%"
"May 20, 2019","15,195.60","14,888.17","15,225.91","14,854.17","-","2.08%"
"May 17, 2019","14,885.86","14,874.67","15,101.97","14,783.90","-","0.04%"
"May 16, 2019","14,879.64","15,146.50","15,146.50","14,836.32","-","-1.77%"
"May 15, 2019","15,147.17","15,218.90","15,218.90","14,930.53","-","-0.51%"
"May 14, 2019","15,224.60","15,162.86","15,302.22","15,139.09","-","0.42%"
"May 13, 2019","15,161.10","15,579.54","15,579.54","15,139.92","-","-2.69%"
"May 10, 2019","15,580.44","15,676.99","15,683.07","15,407.90","-","-0.61%"
"May 09, 2019","15,675.32","15,819.89","15,819.89","15,529.72","-","-0.92%"
"May 08, 2019","15,821.40","15,621.50","15,943.04","15,621.50","-","1.28%"
"May 07, 2019","15,621.53","15,733.88","15,733.88","15,350.57","-","-0.72%"
"May 06, 2019","15,735.28","15,902.29","15,902.29","15,660.11","-","-1.07%"
"May 03, 2019","15,905.95","15,820.83","15,960.91","15,820.83","-","0.53%"
"May 02, 2019","15,822.05","15,948.59","15,948.59","15,787.58","-","-0.81%"
"Apr 30, 2019","15,951.72","15,926.77","16,018.14","15,834.57","-","0.16%"
"Apr 29, 2019","15,926.13","15,945.91","16,087.69","15,896.78","-","-0.10%"
"Apr 26, 2019","15,942.01","16,003.42","16,004.58","15,838.61","-","-0.38%"
"Apr 25, 2019","16,002.46","15,753.31","16,002.46","15,601.57","-","1.56%"
"Apr 24, 2019","15,756.53","15,902.18","15,902.18","15,604.30","-","-0.92%"
"Apr 23, 2019","15,902.14","15,679.83","15,970.51","15,679.83","-","1.42%"
