"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2019","21,416.79","21,394.75","21,445.03","21,317.85","483.50M","-0.23%"
"Jul 19, 2019","21,466.99","21,146.50","21,474.30","21,121.90","597.08M","2.00%"
"Jul 18, 2019","21,046.24","21,336.80","21,347.84","20,993.44","723.96M","-1.97%"
"Jul 17, 2019","21,469.18","21,474.63","21,488.27","21,380.55","549.15M","-0.31%"
"Jul 16, 2019","21,535.25","21,644.38","21,655.52","21,514.89","513.07M","-0.69%"
"Jul 12, 2019","21,685.90","21,720.14","21,720.14","21,589.83","467.99M","0.20%"
"Jul 11, 2019","21,643.53","21,547.19","21,649.93","21,532.57","510.94M","0.51%"
"Jul 10, 2019","21,533.48","21,499.46","21,601.86","21,488.22","607.16M","-0.15%"
"Jul 09, 2019","21,565.15","21,598.15","21,687.29","21,508.22","555.54M","0.14%"
"Jul 08, 2019","21,534.35","21,665.79","21,672.65","21,499.57","534.58M","-0.98%"
"Jul 05, 2019","21,746.38","21,703.61","21,746.38","21,647.73","461.63M","0.20%"
"Jul 04, 2019","21,702.45","21,740.93","21,755.63","21,672.50","389.85M","0.30%"
"Jul 03, 2019","21,638.16","21,684.07","21,708.72","21,566.65","567.02M","-0.53%"
"Jul 02, 2019","21,754.27","21,699.43","21,784.22","21,697.31","564.11M","0.11%"
"Jul 01, 2019","21,729.97","21,566.27","21,758.34","21,559.17","689.82M","2.13%"
"Jun 28, 2019","21,275.92","21,282.22","21,324.93","21,199.85","639.83M","-0.29%"
"Jun 27, 2019","21,338.17","21,156.88","21,338.17","21,123.97","632.28M","1.19%"
"Jun 26, 2019","21,086.59","21,067.68","21,129.64","21,035.84","519.06M","-0.51%"
"Jun 25, 2019","21,193.81","21,238.07","21,313.77","21,114.47","556.11M","-0.43%"
"Jun 24, 2019","21,285.99","21,223.56","21,317.86","21,185.67","445.42M","0.13%"
"Jun 21, 2019","21,258.64","21,487.67","21,497.82","21,221.70","918.21M","-0.95%"
"Jun 20, 2019","21,462.86","21,417.74","21,491.39","21,377.27","573.61M","0.60%"
"Jun 19, 2019","21,333.87","21,223.17","21,358.72","21,213.43","660.88M","1.72%"
"Jun 18, 2019","20,972.71","21,111.77","21,153.65","20,924.19","562.67M","-0.72%"
"Jun 17, 2019","21,124.00","21,094.96","21,185.25","21,044.62","505.82M","0.03%"
"Jun 14, 2019","21,116.89","21,049.41","21,119.73","20,971.18","623.44M","0.40%"
"Jun 13, 2019","21,032.00","21,040.91","21,111.23","20,932.13","677.08M","-0.46%"
"Jun 12, 2019","21,129.72","21,130.39","21,259.70","21,118.75","582.36M","-0.35%"
"Jun 11, 2019","21,204.28","21,099.54","21,227.18","21,066.62","536.72M","0.33%"
"Jun 10, 2019","21,134.42","21,095.40","21,166.12","21,077.95","599.68M","1.20%"
"Jun 07, 2019","20,884.71","20,859.78","20,907.77","20,816.58","522.70M","0.53%"
"Jun 06, 2019","20,774.04","20,745.84","20,842.28","20,745.84","614.23M","-0.01%"
"Jun 05, 2019","20,776.10","20,667.89","20,800.64","20,646.15","744.71M","1.80%"
"Jun 04, 2019","20,408.54","20,435.86","20,464.57","20,289.64","713.00M","-0.01%"
"Jun 03, 2019","20,410.88","20,327.87","20,438.03","20,305.74","695.25M","-0.92%"
"May 31, 2019","20,601.19","20,785.21","20,823.10","20,581.58","814.51M","-1.63%"
"May 30, 2019","20,942.53","20,881.50","20,942.53","20,809.29","604.99M","-0.29%"
"May 29, 2019","21,003.37","21,055.42","21,071.73","20,884.61","721.55M","-1.21%"
"May 28, 2019","21,260.14","21,187.17","21,297.70","21,177.27","1.02B","0.37%"
"May 27, 2019","21,182.58","21,148.46","21,232.38","21,113.76","429.01M","0.31%"
"May 24, 2019","21,117.22","20,980.79","21,117.22","20,922.00","698.31M","-0.16%"
"May 23, 2019","21,151.14","21,180.24","21,209.56","21,072.72","658.64M","-0.62%"
"May 22, 2019","21,283.37","21,373.52","21,404.54","21,266.98","665.38M","0.05%"
"May 21, 2019","21,272.45","21,211.26","21,318.80","21,160.43","723.21M","-0.14%"
"May 20, 2019","21,301.73","21,305.97","21,430.06","21,282.65","671.33M","0.24%"
"May 17, 2019","21,250.09","21,246.86","21,398.85","21,199.98","780.73M","0.89%"
"May 16, 2019","21,062.98","21,153.20","21,153.20","20,951.67","849.62M","-0.59%"
"May 15, 2019","21,188.56","21,112.85","21,191.53","20,968.08","866.63M","0.58%"
"May 14, 2019","21,067.23","20,870.77","21,077.48","20,751.45","929.62M","-0.59%"
"May 13, 2019","21,191.28","21,180.74","21,277.66","21,127.93","768.21M","-0.72%"
"May 10, 2019","21,344.92","21,431.81","21,584.09","21,175.33","1.02B","-0.27%"
"May 09, 2019","21,402.13","21,492.91","21,559.76","21,315.07","999.11M","-0.93%"
"May 08, 2019","21,602.59","21,628.04","21,639.12","21,514.85","884.46M","-1.46%"
"May 07, 2019","21,923.72","22,184.40","22,190.49","21,875.11","934.91M","-1.51%"
"Apr 26, 2019","22,258.73","22,167.48","22,270.29","22,073.10","740.80M","-0.22%"
"Apr 25, 2019","22,307.58","22,183.32","22,334.69","22,155.23","652.75M","0.48%"
"Apr 24, 2019","22,200.00","22,356.83","22,362.92","22,125.48","700.36M","-0.27%"
"Apr 23, 2019","22,259.74","22,241.74","22,268.37","22,119.94","535.79M","0.19%"
"Apr 22, 2019","22,217.90","22,188.62","22,280.19","22,099.38","441.69M","0.08%"
"Apr 19, 2019","22,200.56","22,238.07","22,250.37","22,162.23","498.21M","0.50%"
"Apr 18, 2019","22,090.12","22,274.13","22,305.63","22,058.39","693.55M","-0.84%"
"Apr 17, 2019","22,277.97","22,236.41","22,345.19","22,185.87","776.60M","0.25%"
"Apr 16, 2019","22,221.66","22,108.15","22,261.33","22,095.32","590.95M","0.24%"
"Apr 15, 2019","22,169.11","22,122.97","22,211.03","22,102.93","681.43M","1.37%"
"Apr 12, 2019","21,870.56","21,782.35","21,878.78","21,698.71","634.65M","0.73%"
"Apr 11, 2019","21,711.38","21,662.65","21,721.42","21,627.87","630.65M","0.11%"
"Apr 10, 2019","21,687.57","21,579.68","21,687.57","21,571.67","605.02M","-0.53%"
"Apr 09, 2019","21,802.59","21,750.29","21,811.88","21,698.42","559.51M","0.19%"
"Apr 08, 2019","21,761.65","21,900.55","21,900.55","21,740.53","563.26M","-0.21%"
