"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2019","3,489.85","3,477.95","3,491.45","3,475.85","-","0.28%"
"Jul 19, 2019","3,480.18","3,488.68","3,514.33","3,470.40","43.53M","-0.08%"
"Jul 18, 2019","3,482.83","3,497.40","3,500.82","3,467.25","33.61M","-0.54%"
"Jul 17, 2019","3,501.58","3,520.74","3,529.45","3,497.25","29.00M","-0.56%"
"Jul 16, 2019","3,521.36","3,500.89","3,530.11","3,498.34","29.74M","0.55%"
"Jul 15, 2019","3,502.22","3,497.99","3,517.84","3,483.17","24.41M","0.13%"
"Jul 12, 2019","3,497.63","3,497.02","3,505.79","3,492.18","27.54M","0.03%"
"Jul 11, 2019","3,496.73","3,506.33","3,515.77","3,493.77","28.16M","-0.14%"
"Jul 10, 2019","3,501.52","3,508.54","3,523.60","3,497.74","32.31M","-0.23%"
"Jul 09, 2019","3,509.75","3,522.27","3,522.27","3,492.18","31.26M","-0.40%"
"Jul 08, 2019","3,523.76","3,525.21","3,531.47","3,514.41","27.73M","-0.12%"
"Jul 05, 2019","3,527.98","3,542.23","3,544.02","3,514.25","32.99M","-0.46%"
"Jul 04, 2019","3,544.15","3,541.85","3,549.26","3,537.35","37.79M","0.10%"
"Jul 03, 2019","3,540.63","3,507.70","3,540.63","3,507.70","42.94M","0.93%"
"Jul 02, 2019","3,507.98","3,498.93","3,511.13","3,491.44","29.39M","0.30%"
"Jul 01, 2019","3,497.59","3,476.08","3,519.98","3,476.08","31.31M","0.69%"
"Jun 28, 2019","3,473.69","3,442.39","3,476.93","3,442.39","35.34M","0.91%"
"Jun 27, 2019","3,442.38","3,444.36","3,454.21","3,424.68","32.94M","-0.02%"
"Jun 26, 2019","3,442.95","3,444.28","3,460.16","3,434.33","32.74M","-0.04%"
"Jun 25, 2019","3,444.36","3,454.31","3,454.31","3,440.06","28.18M","-0.32%"
"Jun 24, 2019","3,455.57","3,466.38","3,473.75","3,449.19","28.75M","-0.33%"
"Jun 21, 2019","3,466.92","3,468.73","3,496.79","3,459.04","82.06M","-0.03%"
"Jun 20, 2019","3,468.08","3,460.10","3,487.00","3,460.10","51.00M","0.39%"
"Jun 19, 2019","3,454.70","3,454.52","3,457.37","3,444.12","38.99M","0.05%"
"Jun 18, 2019","3,452.89","3,381.50","3,458.91","3,366.87","51.50M","2.06%"
"Jun 17, 2019","3,383.21","3,382.45","3,393.89","3,375.80","24.96M","0.12%"
"Jun 14, 2019","3,379.19","3,388.78","3,388.78","3,363.07","27.21M","-0.33%"
"Jun 13, 2019","3,390.50","3,384.32","3,401.72","3,373.68","29.11M","0.11%"
"Jun 12, 2019","3,386.63","3,398.58","3,398.58","3,376.45","31.07M","-0.43%"
