Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,3231.000000,3261.000000,3136.000000,3142.000000,3015.490479,561389
2018-07-12,3142.000000,3166.000000,3124.000000,3147.000000,3020.289307,366705
2018-07-13,3175.000000,3181.000000,3150.000000,3161.000000,3033.725586,372514
2018-07-16,3164.000000,3169.000000,3135.000000,3161.469971,3034.176514,525649
2018-07-17,3156.000000,3188.000000,3156.000000,3180.000000,3051.960449,421322
2018-07-18,3197.000000,3254.000000,3186.000000,3237.000000,3106.665283,446470
2018-07-19,3228.000000,3254.000000,3195.000000,3234.000000,3103.786133,276973
2018-07-20,3220.000000,3229.000000,3186.000000,3193.000000,3064.437012,374291
2018-07-23,3173.000000,3200.000000,3164.000000,3185.000000,3056.759033,336174
2018-07-24,3216.000000,3251.000000,3172.000000,3223.000000,3093.229004,224503
2018-07-25,3227.000000,3243.000000,3215.000000,3222.000000,3092.269287,430036
2018-07-26,3228.000000,3228.000000,3065.000000,3089.000000,2964.624512,740893
2018-07-27,3080.000000,3115.000000,3034.000000,3073.000000,2949.268555,1224401
2018-07-30,3061.000000,3119.000000,3039.000000,3113.000000,2987.657959,686239
2018-07-31,3122.000000,3147.000000,3099.000000,3113.000000,2987.657959,759570
2018-08-01,3116.000000,3184.000000,3101.000000,3142.000000,3015.490479,744409
2018-08-02,3130.000000,3133.000000,3027.000000,3074.000000,2950.228271,700841
2018-08-03,3096.000000,3147.000000,3083.000000,3121.000000,2995.335938,952126
2018-08-06,3140.000000,3140.000000,3102.000000,3114.000000,2988.617676,602997
2018-08-07,3128.000000,3170.000000,3121.000000,3150.000000,3023.168457,348335
2018-08-08,3157.000000,3187.000000,3152.000000,3163.000000,3035.645020,364659
2018-08-09,3154.000000,3168.000000,3135.000000,3150.000000,3023.168457,423530
2018-08-10,3141.000000,3151.000000,3082.000000,3100.000000,2975.181641,592013
2018-08-13,3075.000000,3131.000000,3075.000000,3110.000000,2984.779053,232826
2018-08-14,3125.000000,3131.000000,3083.000000,3096.000000,2971.342773,308131
2018-08-15,3126.000000,3126.000000,3036.000000,3049.000000,2926.235107,439534
2018-08-16,3027.000000,3067.000000,3024.000000,3052.000000,2963.128662,436544
2018-08-17,3048.000000,3070.000000,3037.000000,3066.000000,2976.720947,263102
2018-08-20,3061.000000,3115.000000,3061.000000,3111.000000,3020.410645,304451
2018-08-21,3085.000000,3103.000000,3066.000000,3097.000000,3006.818115,383119
2018-08-22,3075.000000,3115.000000,3075.000000,3113.000000,3022.352295,235103
2018-08-23,3135.000000,3135.000000,3095.000000,3106.000000,3015.556152,194015
2018-08-24,3093.000000,3136.000000,3092.000000,3114.000000,3023.323242,296975
2018-08-28,3179.000000,3179.000000,3122.000000,3131.000000,3039.828125,218257
2018-08-29,3137.000000,3145.000000,3090.000000,3090.000000,3000.021973,384100
2018-08-30,3102.000000,3123.000000,3061.000000,3073.000000,2983.517090,298598
2018-08-31,3075.000000,3100.000000,3054.000000,3075.000000,2985.458740,411945
2018-09-03,3103.000000,3103.000000,3062.000000,3084.000000,2994.196777,196827
2018-09-04,3089.000000,3110.000000,3036.000000,3048.000000,2959.245117,292630
2018-09-05,3027.000000,3054.000000,2990.000000,2990.000000,2902.934082,527247
