Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,254.500000,256.399994,254.000000,254.600006,248.383102,25605316
2018-07-12,255.000000,255.899994,253.399994,255.399994,249.163559,23820310
2018-07-13,256.399994,257.100006,255.100006,255.399994,249.163559,18767857
2018-07-16,255.800003,256.799988,253.500000,254.800003,248.578217,31407349
2018-07-17,255.100006,257.100006,254.500000,256.500000,250.236694,38478797
2018-07-18,257.899994,257.899994,255.699997,256.399994,250.139130,24023402
2018-07-19,256.200012,259.700012,256.200012,257.799988,251.504929,19958799
2018-07-20,257.799988,259.600006,257.200012,258.799988,252.480530,17842718
2018-07-23,258.500000,258.600006,256.600006,257.899994,251.602509,13738047
2018-07-24,258.700012,259.200012,255.100006,256.000000,249.748901,33715352
2018-07-25,255.899994,258.100006,255.000000,257.500000,251.212280,22201812
2018-07-26,258.000000,258.299988,256.399994,257.500000,251.212280,22956064
2018-07-27,258.500000,259.500000,256.700012,257.600006,251.309845,20237006
2018-07-30,256.299988,258.299988,255.500000,255.899994,249.651337,18299547
2018-07-31,256.500000,262.100006,256.100006,260.299988,253.943893,43146773
2018-08-01,259.899994,260.299988,254.899994,257.799988,251.504929,28907930
2018-08-02,257.899994,258.700012,256.299988,257.600006,251.309845,26168982
2018-08-03,258.000000,260.600006,257.100006,259.500000,253.163437,20530491
2018-08-06,260.299988,260.799988,258.500000,259.399994,253.065872,36449051
2018-08-07,259.000000,264.600006,258.899994,260.000000,253.651230,30838529
2018-08-08,260.000000,262.600006,259.200012,262.100006,255.699966,29195061
2018-08-09,262.299988,266.200012,262.100006,265.000000,258.529144,20013276
2018-08-10,264.500000,266.799988,263.899994,266.200012,259.699829,25247232
2018-08-13,265.000000,265.700012,262.200012,262.799988,256.382843,21941011
2018-08-14,263.299988,264.000000,258.899994,260.000000,253.651230,24251588
2018-08-15,260.600006,260.600006,252.699997,254.500000,248.285538,39260341
2018-08-16,254.600006,257.100006,253.699997,256.200012,249.944031,24865400
2018-08-17,255.699997,258.000000,254.800003,256.500000,250.236694,22908972
2018-08-20,256.000000,259.399994,255.199997,255.899994,249.651337,16098375
2018-08-21,255.100006,257.500000,254.000000,255.000000,248.773331,23659334
2018-08-22,254.100006,258.100006,254.000000,256.100006,249.846466,22676328
2018-08-23,256.100006,256.399994,252.699997,253.699997,247.505066,19924159
2018-08-24,253.000000,256.200012,252.199997,254.600006,248.383102,18827014
2018-08-28,256.200012,260.100006,255.500000,258.200012,251.895187,21814328
2018-08-29,258.299988,258.899994,249.500000,249.899994,243.797852,47979247
2018-08-30,249.600006,249.600006,244.000000,244.699997,238.724823,33135256
2018-08-31,244.699997,248.600006,244.199997,246.500000,240.480865,43131776
2018-09-03,246.500000,247.600006,244.600006,245.000000,239.017502,15765298
2018-09-04,244.899994,245.699997,242.199997,243.500000,237.554138,20934273
2018-09-05,242.899994,244.199997,239.000000,240.300003,234.432266,24872849
2018-09-06,239.800003,242.899994,239.500000,239.899994,234.042023,52506220
2018-09-07,240.000000,241.100006,236.699997,238.899994,233.066452,31612534
2018-09-10,239.699997,241.300003,238.000000,240.399994,234.529816,21500287
2018-09-11,240.199997,240.300003,235.300003,236.800003,231.017731,28082628
2018-09-12,236.399994,240.600006,236.399994,237.800003,231.993332,26922280
2018-09-13,237.500000,237.899994,234.199997,234.500000,228.773895,29137065
2018-09-14,235.100006,236.100006,233.800003,234.300003,228.578781,37830624
2018-09-17,233.800003,235.699997,232.300003,235.100006,229.359253,34502685
2018-09-18,235.800003,237.800003,233.899994,235.100006,229.359253,23790053
2018-09-19,234.800003,237.699997,232.800003,235.800003,230.042160,22170528
2018-09-20,235.500000,238.899994,235.100006,238.899994,233.066452,28724310
2018-09-21,239.399994,240.000000,236.500000,236.800003,231.017731,39053537
2018-09-24,236.300003,240.300003,235.600006,239.399994,233.554245,13513875
2018-09-25,238.899994,242.199997,238.000000,241.500000,235.602966,35355832
2018-09-26,242.100006,245.399994,241.800003,243.899994,237.944366,27599839
2018-09-27,243.300003,244.199997,240.199997,241.600006,235.700531,19025542
2018-09-28,241.000000,242.100006,239.000000,239.800003,233.944489,25453211
2018-10-01,239.500000,242.199997,235.199997,236.699997,230.920181,50466013
2018-10-02,235.000000,235.699997,231.800003,235.199997,229.456818,54597033
